Title,"HE qualifiers by HE provider, level of qualification obtained and classification of first degree",,,,,
Location,UK,,,,,
Time period,2016/17,,,,,
Data source,HESA,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/table-16,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8 ,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ,,,,,
Table total,757300,,,,,
Last updated,Feb-18,,,,,
,,,,,,
UKPRN,HE provider,Country of HE provider,Region of HE provider,Qualification/Classification marker,Level of qualification/Degree classification,Student count
10007783,The University of Aberdeen,All,All,Level of qualification,Other postgraduate research,25
10007783,The University of Aberdeen,All,All,Level of qualification,Postgraduate certificate in education,320
10007783,The University of Aberdeen,All,All,Level of qualification,Other postgraduate taught,350
10007783,The University of Aberdeen,All,All,Level of qualification,First degree,1720
10007783,The University of Aberdeen,All,All,Level of qualification,Foundation degree,0
10007783,The University of Aberdeen,All,All,Level of qualification,HNC/HND,0
10007783,The University of Aberdeen,All,All,Level of qualification,Masters taught,1225
10007783,The University of Aberdeen,All,All,Level of qualification,Doctorate research,215
10007783,The University of Aberdeen,All,All,Level of qualification,Professional graduate certificate in education,0
10007783,The University of Aberdeen,All,All,Level of qualification,Other undergraduate,140
10007783,The University of Aberdeen,All,All,Level of qualification,Total,3995
10007783,The University of Aberdeen,All,All,First degree classification,First class honours,405
10007783,The University of Aberdeen,All,All,First degree classification,Upper second class honours,770
10007783,The University of Aberdeen,All,All,First degree classification,Lower second class honours,185
10007783,The University of Aberdeen,All,All,First degree classification,Third class honours/Pass,15
10007783,The University of Aberdeen,All,All,First degree classification,Unclassified,340
10007783,The University of Aberdeen,All,All,First degree classification,Classification not applicable,2275
10007783,The University of Aberdeen,All,All,Level of qualification,Total undergraduate,1860
10007783,The University of Aberdeen,All,All,Level of qualification,Total postgraduate,2135
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Other postgraduate research,25
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Postgraduate certificate in education,320
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Other postgraduate taught,350
10007783,The University of Aberdeen,Scotland,All,Level of qualification,First degree,1720
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Foundation degree,0
10007783,The University of Aberdeen,Scotland,All,Level of qualification,HNC/HND,0
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Masters taught,1225
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Doctorate research,215
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Professional graduate certificate in education,0
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Other undergraduate,140
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Total,3995
10007783,The University of Aberdeen,Scotland,All,First degree classification,First class honours,405
10007783,The University of Aberdeen,Scotland,All,First degree classification,Upper second class honours,770
10007783,The University of Aberdeen,Scotland,All,First degree classification,Lower second class honours,185
10007783,The University of Aberdeen,Scotland,All,First degree classification,Third class honours/Pass,15
10007783,The University of Aberdeen,Scotland,All,First degree classification,Unclassified,340
10007783,The University of Aberdeen,Scotland,All,First degree classification,Classification not applicable,2275
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Total undergraduate,1860
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Total postgraduate,2135
10007849,University of Abertay Dundee,All,All,Level of qualification,Other postgraduate research,0
10007849,University of Abertay Dundee,All,All,Level of qualification,Postgraduate certificate in education,0
10007849,University of Abertay Dundee,All,All,Level of qualification,Other postgraduate taught,85
10007849,University of Abertay Dundee,All,All,Level of qualification,First degree,880
10007849,University of Abertay Dundee,All,All,Level of qualification,Foundation degree,0
10007849,University of Abertay Dundee,All,All,Level of qualification,HNC/HND,0
10007849,University of Abertay Dundee,All,All,Level of qualification,Masters taught,90
10007849,University of Abertay Dundee,All,All,Level of qualification,Doctorate research,20
10007849,University of Abertay Dundee,All,All,Level of qualification,Professional graduate certificate in education,0
