﻿Title:,Table 1 - HE student enrolments by HE provider
Subtitle:,2016/17
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Mode of study,All 
,Level of study,All 
Search:,


"UKPRN","HE Provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","8,065","6,080","0","14,150"
"10007849","University of Abertay Dundee","1,810","2,030","5","3,845"
"10007856","Aberystwyth University","4,385","4,065","5","8,455"
"10000291","Anglia Ruskin University","13,965","8,275","5","22,245"
"10007759","Aston University","6,485","7,120","0","13,610"
"10007857","Bangor University","6,535","4,735","0","11,270"
"10000571","Bath Spa University","5,400","2,575","0","7,980"
"10007850","The University of Bath","7,890","9,015","0","16,910"
"10007152","University of Bedfordshire","8,720","5,280","0","14,000"
"10005343","The Queen's University of Belfast","13,345","10,505","0","23,850"
"10007760","Birkbeck College","7,010","5,895","10","12,915"
"10007140","Birmingham City University","15,130","8,990","10","24,130"
"10006840","The University of Birmingham","19,675","15,155","5","34,835"
"10000712","University College Birmingham","3,465","1,465","0","4,935"
"10007811","Bishop Grosseteste University","1,790","435","0","2,225"
"10006841","The University of Bolton","3,630","2,790","5","6,425"
"10000385","The Arts University Bournemouth","2,330","970","15","3,315"
"10000824","Bournemouth University","11,585","8,610","5","20,200"
"10007785","The University of Bradford","6,065","4,895","0","10,960"
"10000886","The University of Brighton","13,070","8,575","5","21,655"
"10000936","The University College of Osteopathy","255","215","0","470"
"10007786","The University of Bristol","12,860","10,715","20","23,590"
"10000961","Brunel University London","6,070","7,060","0","13,130"
"10000975","Buckinghamshire New University","5,200","3,675","0","8,870"
"10007787","The University of Buckingham","1,160","1,355","0","2,520"
"10007788","The University of Cambridge","9,385","10,560","10","19,955"
"10003324","The Institute of Cancer Research","170","100","0","275"
"10001143","Canterbury Christ Church University","10,555","4,645","0","15,200"
"10007814","Cardiff University","18,720","12,855","25","31,595"
"10007854","Cardiff Metropolitan University","5,965","5,025","0","10,995"
"10007141","The University of Central Lancashire","13,920","10,240","0","24,160"
"10007848","University of Chester","10,510","4,815","0","15,325"
"10007137","The University of Chichester","3,485","2,055","0","5,540"
"10001478","City, University of London","10,815","8,585","0","19,405"
"10001653","Conservatoire for Dance and Drama","865","510","0","1,375"
"10007761","Courtauld Institute of Art","380","110","0","495"
"10001726","Coventry University","14,930","16,750","10","31,690"
"10007822","Cranfield University","935","3,000","0","3,935"
"10006427","University for the Creative Arts","4,270","1,900","10","6,180"
"10007842","University of Cumbria","5,725","2,905","5","8,635"
"10001883","De Montfort University","13,020","10,185","0","23,205"
"10007851","University of Derby","9,935","7,645","0","17,585"
"10007852","The University of Dundee","9,815","5,570","0","15,390"
"10007143","University of Durham","10,045","8,340","0","18,385"
"10007789","The University of East Anglia","10,425","6,760","10","17,195"
"10007144","The University of East London","8,350","4,870","0","13,215"
"10007823","Edge Hill University","10,325","4,890","0","15,220"
"10007772","Edinburgh Napier University","7,295","5,615","0","12,910"
"10007790","The University of Edinburgh","19,060","12,815","35","31,910"
"10007791","The University of Essex","8,230","6,355","5","14,585"
"10007792","The University of Exeter","12,665","10,495","20","23,175"
"10008640","Falmouth University","3,210","2,165","10","5,385"
"10004511","The National Film and Television School","120","155","0","275"
"10007762","Glasgow Caledonian University","9,655","6,760","0","16,415"
"10002681","Glasgow School of Art","1,445","740","15","2,195"
"10007794","The University of Glasgow","16,865","11,670","75","28,615"
"10007145","University of Gloucestershire","4,940","3,565","5","8,505"
"10007833","Glyndŵr University","3,460","2,955","0","6,415"
"10002718","Goldsmiths College","6,160","3,185","0","9,345"
"10030408","Gower College Swansea","65","45","0","110"
"10007146","The University of Greenwich","11,635","8,280","0","19,915"
"10007825","Guildhall School of Music and Drama","540","495","5","1,035"
"10040812","Harper Adams University","2,700","2,710","0","5,410"
"10007764","Heriot-Watt University","4,350","6,150","0","10,500"
"10007147","University of Hertfordshire","14,285","10,290","0","24,580"
"10007765","Heythrop College","200","230","0","425"
"10007148","The University of Huddersfield","10,235","8,045","0","18,280"
"10007149","The University of Hull","9,140","7,390","0","16,530"
"10003270","Imperial College of Science, Technology and Medicine","6,875","10,815","0","17,690"
"10007767","Keele University","6,175","4,425","0","10,600"
"10007150","The University of Kent","10,605","9,615","0","20,220"
"10003645","King's College London","19,055","11,345","160","30,565"
"10003678","Kingston University","10,980","8,425","65","19,470"
"10007768","The University of Lancaster","6,930","6,685","0","13,615"
"10003854","Leeds Arts University","1,085","345","0","1,425"
"10003861","Leeds Beckett University","13,280","11,605","0","24,885"
"10007795","The University of Leeds","20,275","13,025","0","33,300"
"10003863","Leeds Trinity University","2,375","1,250","0","3,625"
"10007796","The University of Leicester","8,885","7,915","0","16,800"
"10007151","The University of Lincoln","7,665","6,435","5","14,105"
"10003956","Liverpool Hope University","3,580","1,655","5","5,240"
"10003957","Liverpool John Moores University","12,220","10,225","0","22,445"
"10003945","The Liverpool Institute for Performing Arts","400","345","0","745"
"10006842","The University of Liverpool","14,870","12,200","0","27,070"
"10003958","Liverpool School of Tropical Medicine","275","155","0","430"
"10007820","Grŵp Llandrillo Menai","670","510","0","1,180"
"10007162","University of the Arts, London","13,530","4,735","25","18,290"
"10007769","London Business School","665","1,400","0","2,060"
"10007797","University of London (Institutes and activities)","125","85","0","210"
"10004048","London Metropolitan University","7,575","4,570","0","12,145"
"10004078","London South Bank University","10,640","7,345","5","17,985"
"10004063","London School of Economics and Political Science","5,885","5,315","10","11,210"
"10007771","London School of Hygiene and Tropical Medicine","930","415","0","1,345"
"10004113","Loughborough University","6,740","10,390","0","17,130"
"10004180","The Manchester Metropolitan University","19,335","13,675","5","33,010"
"10007798","The University of Manchester","21,630","18,860","0","40,490"
"10004351","Middlesex University","11,610","7,895","0","19,505"
"10007799","Newcastle University","12,690","12,285","5","24,980"
"10007832","Newman University","2,180","645","0","2,830"
"10007138","The University of Northampton","8,200","4,645","0","12,850"
"10009614","Grŵp NPTC Group","15","90","0","105"
"10001282","University of Northumbria at Newcastle","14,830","11,835","5","26,675"
"10004775","Norwich University of the Arts","1,315","855","10","2,180"
"10007154","University of Nottingham","17,800","14,700","10","32,515"
"10004797","The Nottingham Trent University","16,420","12,925","30","29,370"
"10007773","The Open University","73,270","48,350","0","121,620"
"10004930","Oxford Brookes University","10,635","7,160","10","17,805"
"10007774","The University of Oxford","11,560","13,080","10","24,650"
"10005127","Plymouth College of Art","860","445","5","1,315"
"10007801","University of Plymouth","12,305","9,340","0","21,645"
"10007155","The University of Portsmouth","10,485","13,015","0","23,505"
"10005337","Queen Margaret University, Edinburgh","4,035","1,170","5","5,210"
"10007775","Queen Mary University of London","10,210","8,670","5","18,890"
"10005389","Ravensbourne","1,140","1,140","5","2,280"
"10007802","The University of Reading","9,025","6,805","5","15,840"
"10005500","The Robert Gordon University","7,560","4,970","0","12,530"
"10007776","Roehampton University","6,905","3,295","5","10,205"
"10005523","Rose Bruford College of Theatre and Performance","410","320","0","730"
"10007835","Royal Academy of Music","405","415","0","820"
"10005545","Royal Agricultural University","605","675","0","1,280"
"10007777","Royal College of Art","1,155","700","0","1,855"
"10007778","Royal College of Music","430","380","0","810"
"10005561","Royal Conservatoire of Scotland","670","485","0","1,155"
"10007816","The Royal Central School of Speech and Drama","740","360","0","1,100"
"10005553","Royal Holloway and Bedford New College","6,075","4,250","0","10,325"
"10007837","Royal Northern College of Music","470","485","0","955"
"10007779","The Royal Veterinary College","1,830","540","0","2,375"
"10007803","The University of St Andrews","6,030","4,300","0","10,330"
"10007782","St George's, University of London","3,225","1,625","0","4,855"
"10008026","St Mary's University College","690","300","0","990"
"10007843","St Mary's University, Twickenham","3,065","2,465","0","5,535"
"10007156","The University of Salford","10,855","9,105","40","19,995"
"10007780","SOAS University of London","4,075","2,285","0","6,360"
"10005700","SRUC","815","805","0","1,620"
"10005790","Sheffield Hallam University","16,825","13,995","0","30,815"
"10007157","The University of Sheffield","14,665","14,050","0","28,715"
"10006022","Southampton Solent University","4,570","6,490","0","11,060"
"10007158","The University of Southampton","13,460","11,720","0","25,180"
"10006299","Staffordshire University","7,345","7,565","0","14,910"
"10007804","The University of Stirling","7,720","4,350","0","12,065"
"10037449","University of St Mark and St John","1,365","1,050","0","2,415"
"10008010","Stranmillis University College","1,200","275","0","1,475"
