Title,HE student enrolment FTE by HE provider and level of study,,,,
Location,UK,,,,
Time period,2016/17,,,,
Data source,HESA,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/table-2,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/table-2.csv,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,
Code page,"Unicode UTF-8 ",,,,
Disclaimer,"Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ",,,,
Table total,2556970,,,,
Last updated,Feb-18,,,,
,,,,,
UKPRN,HE provider,Country of HE provider,Region of HE provider,Level of study,Student count
10007783,The University of Aberdeen,All,All,Postgraduate research,875
10007783,The University of Aberdeen,All,All,Postgraduate taught,1830
10007783,The University of Aberdeen,All,All,First degree,9450
10007783,The University of Aberdeen,All,All,Other undergraduate,85
10007783,The University of Aberdeen,All,All,Total,12235
10007783,The University of Aberdeen,Scotland,All,Postgraduate research,875
10007783,The University of Aberdeen,Scotland,All,Postgraduate taught,1830
10007783,The University of Aberdeen,Scotland,All,First degree,9450
10007783,The University of Aberdeen,Scotland,All,Other undergraduate,85
10007783,The University of Aberdeen,Scotland,All,Total,12235
10007849,University of Abertay Dundee,All,All,Postgraduate research,100
10007849,University of Abertay Dundee,All,All,Postgraduate taught,200
10007849,University of Abertay Dundee,All,All,First degree,3235
10007849,University of Abertay Dundee,All,All,Other undergraduate,70
10007849,University of Abertay Dundee,All,All,Total,3605
10007849,University of Abertay Dundee,Scotland,All,Postgraduate research,100
10007849,University of Abertay Dundee,Scotland,All,Postgraduate taught,200
10007849,University of Abertay Dundee,Scotland,All,First degree,3235
10007849,University of Abertay Dundee,Scotland,All,Other undergraduate,70
10007849,University of Abertay Dundee,Scotland,All,Total,3605
10007856,Aberystwyth University,All,All,Postgraduate research,315
10007856,Aberystwyth University,All,All,Postgraduate taught,410
10007856,Aberystwyth University,All,All,First degree,5920
10007856,Aberystwyth University,All,All,Other undergraduate,225
10007856,Aberystwyth University,All,All,Total,6870
10007856,Aberystwyth University,Wales,All,Postgraduate research,315
10007856,Aberystwyth University,Wales,All,Postgraduate taught,410
10007856,Aberystwyth University,Wales,All,First degree,5920
10007856,Aberystwyth University,Wales,All,Other undergraduate,225
10007856,Aberystwyth University,Wales,All,Total,6870
10000291,Anglia Ruskin University,England,East of England,Postgraduate research,480
10000291,Anglia Ruskin University,England,East of England,Postgraduate taught,1850
10000291,Anglia Ruskin University,England,East of England,First degree,14650
10000291,Anglia Ruskin University,England,East of England,Other undergraduate,1500
10000291,Anglia Ruskin University,England,East of England,Total,18480
10000291,Anglia Ruskin University,All,All,Postgraduate research,480
10000291,Anglia Ruskin University,All,All,Postgraduate taught,1850
10000291,Anglia Ruskin University,All,All,First degree,14650
10000291,Anglia Ruskin University,All,All,Other undergraduate,1500
10000291,Anglia Ruskin University,All,All,Total,18480
10000291,Anglia Ruskin University,England,All,Postgraduate research,480
10000291,Anglia Ruskin University,England,All,Postgraduate taught,1850
10000291,Anglia Ruskin University,England,All,First degree,14650
10000291,Anglia Ruskin University,England,All,Other undergraduate,1500
10000291,Anglia Ruskin University,England,All,Total,18480
10007759,Aston University,England,West Midlands,Postgraduate research,270
10007759,Aston University,England,West Midlands,Postgraduate taught,1470
10007759,Aston University,England,West Midlands,First degree,10030
10007759,Aston University,England,West Midlands,Other undergraduate,300
10007759,Aston University,England,West Midlands,Total,12070
10007759,Aston University,All,All,Postgraduate research,270
10007759,Aston University,All,All,Postgraduate taught,1470
10007759,Aston University,All,All,First degree,10030
10007759,Aston University,All,All,Other undergraduate,300
10007759,Aston University,All,All,Total,12070
10007759,Aston University,England,All,Postgraduate research,270
10007759,Aston University,England,All,Postgraduate taught,1470
10007759,Aston University,England,All,First degree,10030
10007759,Aston University,England,All,Other undergraduate,300
10007759,Aston University,England,All,Total,12070
10007857,Bangor University,All,All,Postgraduate research,485
10007857,Bangor University,All,All,Postgraduate taught,1195
10007857,Bangor University,All,All,First degree,7705
10007857,Bangor University,All,All,Other undergraduate,220
10007857,Bangor University,All,All,Total,9605
