﻿Title:,Table 19 - HE qualifiers by HE provider and subject of study
Subtitle:,2016/17
Reference ID:,DT051 Table 19
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-19
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-19.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
Search:,


"UKPRN","HE provider","(1) Medicine and dentistry","(2) Subjects allied to medicine","(3) Biological sciences","(4) Veterinary science","(5) Agriculture and related subjects","(6) Physical sciences","(7) Mathematical sciences","(8) Computer science","(9) Engineering and technology","(A) Architecture, building and planning","(B) Social studies","(C) Law","(D) Business and administrative studies","(E) Mass communications and documentation","(F) Languages","(G) Historical and philosophical studies","(H) Creative arts and design","(I) Education","(J) Combined","Subject area total"
"10007783","The University of Aberdeen","255","200","340","0","15","380","30","55","470","15","325","420","310","5","165","185","60","725","40","3,995"
"10007849","University of Abertay Dundee","0","65","250","0","65","40","0","200","70","0","70","15","175","0","0","0","170","5","0","1,130"
"10007856","Aberystwyth University","0","0","390","0","140","270","55","180","10","0","275","105","200","155","165","175","210","130","0","2,460"
"10000291","Anglia Ruskin University","0","1,950","640","0","40","100","0","280","235","265","485","275","1,330","115","160","115","530","435","0","6,960"
"10007759","Aston University","0","555","350","0","0","20","100","140","495","20","265","90","1,325","0","180","0","0","95","0","3,635"
"10007857","Bangor University","0","260","990","0","85","245","0","70","75","0","195","140","780","45","190","120","130","360","0","3,680"
"10000571","Bath Spa University","0","35","130","0","0","80","0","10","10","0","40","0","375","130","85","135","1,100","825","0","2,950"
"10007850","The University of Bath","30","250","725","0","0","285","345","120","745","275","745","0","940","0","245","0","0","185","70","4,950"
"10007152","University of Bedfordshire","0","620","665","0","15","30","0","250","65","30","845","140","915","160","75","0","245","825","0","4,880"
"10005343","The Queen's University of Belfast","540","1,390","450","0","160","260","90","460","595","280","685","540","735","15","330","330","200","325","0","7,385"
"10007760","Birkbeck College","0","185","505","0","5","110","110","155","0","5","370","300","665","85","275","340","145","155","0","3,405"
