﻿Title:,Table T1 – Participation of under-represented groups in higher education
Subtitle:,UK domiciled young full-time undergraduate entrants 2016/17
Reference ID:,UKPIs Table T1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/ukpis/widening-participation/table-t1
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,Choose a value... 
,Level of study,First degree (T1a) 
Search:,


"UKPRN","HE provider","Total full-time entrants","Number who are young","Percentage who are young","Number with known school data","Percentage with known school data","Number from state schools or colleges","Percentage from state schools or colleges","Benchmark (%)","Standard deviation (%)","+/-","Location adjusted benchmark (%)","Standard deviation (%)","+/-","HE provider average contribution to benchmark (%)","HE provider average contribution to benchmark - Location adjusted (%)","Average number of HE providers in comparison","Average number of HE providers in comparison - Location adjusted"
"10007783","The University of Aberdeen","1,840","1,530","83.2","1,500","98.0","1,195","79.6","85.9","0.89","-","","","","2.0","","81.2",""
"10007849","University of Abertay Dundee","995","640","64.3","630","98.3","605","96.0","92.2","0.99","+","","","","2.0","","93.7",""
"10007856","Aberystwyth University","1,620","1,430","88.1","1,275","89.2","1,215","95.2","92.5","0.72","","","","","1.4","","89.7",""
"10000291","Anglia Ruskin University","5,360","2,515","46.9","2,420","96.4","2,335","96.4","95.4","0.50","","94.8","0.48","","2.3","7.7","92.6","50.0"
"10007759","Aston University","2,825","2,700","95.5","2,640","97.7","2,505","94.9","91.5","0.51","+","91.2","0.48","+","2.5","8.0","98.0","49.0"
"10007857","Bangor University","2,220","1,715","77.3","1,705","99.2","1,630","95.8","93.5","0.61","","","","","1.4","","96.9",""
"10000571","Bath Spa University","2,180","1,840","84.3","1,810","98.4","1,695","93.6","93.9","0.63","","93.6","0.60","","1.6","4.7","103.4","51.8"
"10007850","The University of Bath","2,655","2,575","97.0","2,500","97.0","1,815","72.6","78.9","0.73","-","77.3","0.70","-","6.8","9.8","66.6","31.4"
"10007152","University of Bedfordshire","3,375","1,470","43.6","1,395","94.8","1,380","98.9","97.1","0.60","","96.6","0.59","","1.9","6.5","95.4","55.7"
"10005343","The Queen's University of Belfast","3,985","3,205","80.4","3,200","99.8","3,140","98.1","84.9","0.42","+","","","","3.2","","78.6",""
"10007760","Birkbeck College","935","290","31.0","255","87.6","230","90.2","92.6","1.76","","91.8","1.68","","0.7","2.7","89.8","48.3"
"10007140","Birmingham City University","5,785","4,250","73.5","4,145","97.5","4,045","97.7","95.7","0.37","","95.8","0.35","","2.8","11.6","99.8","54.5"
"10006840","The University of Birmingham","5,265","5,010","95.1","4,905","97.9","4,030","82.1","81.9","0.48","","81.0","0.46","","4.4","7.6","78.3","37.0"
"10000712","University College Birmingham","845","480","56.9","470","97.3","460","98.7","95.9","1.05","","96.5","1.00","","1.8","7.8","95.0","49.8"
"10007811","Bishop Grosseteste University","560","360","63.7","355","99.2","350","98.9","96.4","1.20","","96.7","1.14","","1.8","9.0","80.5","31.0"
"10006841","The University of Bolton","1,575","815","51.7","750","91.8","745","99.6","96.7","0.81","","98.1","0.78","","1.2","5.9","95.1","48.3"
"10000385","The Arts University Bournemouth","920","825","89.6","820","99.5","790","96.2","93.2","0.87","+","92.1","0.85","+","2.6","4.9","119.3","69.9"
"10000824","Bournemouth University","4,335","3,505","80.9","3,445","98.3","3,260","94.6","94.4","0.44","","92.8","0.43","","2.8","7.5","101.1","56.5"
"10007785","The University of Bradford","2,065","1,610","78.0","1,605","99.6","1,570","98.0","95.9","0.58","","96.5","0.56","","1.8","9.7","98.8","46.3"
"10000886","The University of Brighton","4,605","3,475","75.4","3,435","98.8","3,245","94.5","93.7","0.45","","92.5","0.43","","2.4","5.5","92.1","47.9"
"10000936","The University College of Osteopathy","195","50","25.0","40","83.7","40","92.7","95.8","4.32","","96.8","3.65","","0.6","21.6","86.4","30.9"
"10007786","The University of Bristol","4,455","4,205","94.4","4,105","97.6","2,645","64.5","77.3","0.62","-","75.0","0.59","-","5.9","8.4","66.2","31.8"
"10000961","Brunel University London","2,600","2,315","89.0","2,275","98.2","2,180","95.7","93.4","0.53","","92.2","0.51","+","1.7","4.8","99.0","56.5"
"10000975","Buckinghamshire New University","2,105","1,395","66.3","1,335","95.6","1,285","96.4","95.8","0.67","","95.4","0.66","","1.7","3.0","104.9","63.7"
"10007787","The University of Buckingham","260","155","59.1","120","79.1","90","75.2","89.1","3.02","-","85.4","2.79","-","0.8","4.7","79.6","40.4"
"10007788","The University of Cambridge","2,620","2,505","95.7","2,485","99.2","1,555","62.6","70.6","0.79","-","67.7","0.75","-","10.9","14.4","50.7","24.2"
"10003324","The Institute of Cancer Research","0","0","","0","","0","","","","","","","","","","",""
"10001143","Canterbury Christ Church University","3,210","2,105","65.5","2,085","99.0","2,035","97.7","95.5","0.52","","94.3","0.50","+","2.0","7.5","92.2","52.8"
"10007814","Cardiff University","5,440","4,835","88.8","4,765","98.6","4,065","85.3","86.6","0.46","","","","","3.3","","85.5",""
"10007854","Cardiff Metropolitan University","2,250","1,750","77.7","1,715","98.0","1,625","94.9","95.4","0.63","","","","","1.9","","101.9",""
"10007141","The University of Central Lancashire","4,775","3,070","64.3","3,010","97.9","2,960","98.4","95.6","0.42","","97.2","0.39","","2.5","11.4","95.6","47.2"
"10007848","University of Chester","3,295","2,520","76.5","2,500","99.1","2,430","97.3","94.6","0.48","","96.0","0.46","","1.8","5.5","93.4","42.0"
"10007137","The University of Chichester","1,420","1,185","83.5","1,165","98.2","1,130","97.1","95.4","0.71","","94.0","0.69","+","1.3","4.6","106.6","66.0"
